rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-16.00002,2006-01-01_2008-01-01,147000.0,-0.344,1.9223,-50574.0,282824.0,-4.3e-05,0.00024,-0.2924,1.6369,1.0,1.0,3.24,1.24,16
RGI60-16.00002,2007-01-01_2008-01-01,147000.0,-0.322,3.8517,-47329.0,566303.0,-4e-05,0.000481,-0.2737,3.2752,1.0,1.0,3.0,1.0,16
RGI60-16.00002,2008-01-01_2009-01-01,147000.0,-0.0863,3.8386,-12682.0,564283.0,-1.1e-05,0.00048,-0.0733,3.2629,1.0,1.0,3.0,1.0,16
RGI60-16.00002,2008-01-01_2010-01-01,147000.0,-0.0342,1.9824,-5030.0,291421.0,-4e-06,0.000248,-0.0291,1.6851,1.0,1.0,3.0,1.0,16
RGI60-16.00002,2008-01-01_2012-01-01,147000.0,-0.0051,0.9503,-749.0,139691.0,-1e-06,0.000119,-0.0043,0.8077,1.0,1.0,8.0,3.0,16
RGI60-16.00002,2009-01-01_2010-01-01,147000.0,0.0178,3.9883,2622.0,586283.0,2e-06,0.000498,0.0152,3.3901,1.0,1.0,0.0,0.0,16
RGI60-16.00002,2010-01-01_2011-01-01,147000.0,0.0262,3.9898,3850.0,586507.0,3e-06,0.000499,0.0223,3.3914,1.0,1.0,1.0,1.0,16
RGI60-16.00002,2010-01-01_2012-01-01,147000.0,0.024,1.9761,3533.0,290492.0,3e-06,0.000247,0.0204,1.6797,1.0,1.0,5.0,2.0,16
RGI60-16.00002,2010-01-01_2015-01-01,147000.0,-0.1467,0.8027,-21559.0,118104.0,-1.8e-05,0.0001,-0.1247,0.6836,1.0,1.0,15.59,5.0,16
RGI60-16.00002,2010-01-01_2020-01-01,147000.0,-0.1501,0.4179,-22061.0,61643.0,-1.9e-05,5.2e-05,-0.1276,0.3578,1.0,1.0,23.0,8.82,16
RGI60-16.00002,2011-01-01_2012-01-01,147000.0,0.0219,3.8272,3215.0,562592.0,3e-06,0.000478,0.0186,3.2531,1.0,1.0,4.0,1.0,16
RGI60-16.00002,2012-01-01_2013-01-01,147000.0,-0.4456,3.8272,-65509.0,562813.0,-5.6e-05,0.000478,-0.3788,3.2557,1.0,1.0,4.06,1.0,16
RGI60-16.00002,2012-01-01_2014-01-01,147000.0,-0.3504,1.9076,-51510.0,280669.0,-4.4e-05,0.000239,-0.2978,1.6245,1.0,1.0,6.65,2.0,16
RGI60-16.00002,2012-01-01_2016-01-01,147000.0,-0.2374,0.9636,-34897.0,141889.0,-3e-05,0.000121,-0.2018,0.8219,1.0,1.0,13.59,4.0,16
RGI60-16.00002,2013-01-01_2014-01-01,147000.0,-0.2552,3.8541,-37512.0,566623.0,-3.2e-05,0.000482,-0.2169,3.2768,1.0,1.0,2.59,1.0,16
RGI60-16.00002,2014-01-01_2015-01-01,147000.0,-0.0805,3.8785,-11840.0,570146.0,-1e-05,0.000485,-0.0685,3.2968,1.0,1.0,3.94,1.0,16
RGI60-16.00002,2014-01-01_2016-01-01,147000.0,-0.1244,1.9406,-18283.0,285301.0,-1.6e-05,0.000243,-0.1057,1.6499,1.0,1.0,6.94,2.0,16
RGI60-16.00002,2015-01-01_2016-01-01,147000.0,-0.1682,3.9173,-24727.0,575869.0,-2.1e-05,0.000489,-0.143,3.33,1.0,1.0,3.0,1.0,16
RGI60-16.00002,2015-01-01_2020-01-01,147000.0,-0.1535,0.8168,-22563.0,120180.0,-1.9e-05,0.000102,-0.1305,0.6956,1.0,1.0,7.41,3.82,16
RGI60-16.00002,2016-01-01_2017-01-01,147000.0,-0.15,3.9848,-22054.0,585788.0,-1.9e-05,0.000498,-0.1275,3.3874,1.0,1.0,1.41,0.82,16
RGI60-16.00002,2016-01-01_2018-01-01,147000.0,-0.145,1.9682,-21320.0,289370.0,-1.8e-05,0.000246,-0.1233,1.6735,1.0,1.0,3.41,1.82,16
RGI60-16.00002,2016-01-01_2020-01-01,147000.0,-0.1498,1.0216,-22022.0,150263.0,-1.9e-05,0.000128,-0.1273,0.8694,1.0,1.0,4.41,2.82,16
RGI60-16.00002,2017-01-01_2018-01-01,147000.0,-0.14,4.001,-20586.0,588165.0,-1.7e-05,0.0005,-0.119,3.4011,1.0,1.0,2.0,1.0,16
RGI60-16.00002,2018-01-01_2019-01-01,147000.0,-0.1518,4.1218,-22321.0,605926.0,-1.9e-05,0.000515,-0.1291,3.5038,1.0,1.0,0.0,0.0,16
RGI60-16.00002,2018-01-01_2020-01-01,147000.0,-0.1546,2.0511,-22724.0,301556.0,-1.9e-05,0.000256,-0.1314,1.744,1.0,1.0,1.0,1.0,16
RGI60-16.00002,2019-01-01_2020-01-01,147000.0,-0.1573,4.2652,-23128.0,627015.0,-2e-05,0.000533,-0.1337,3.6257,1.0,1.0,1.0,1.0,16
RGI60-16.00003,2000-01-01_2001-01-01,149000.0,0.3641,4.8242,54255.0,718919.0,4.6e-05,0.000611,0.3095,4.1019,1.0,1.0,0.19,0.19,16
RGI60-16.00003,2000-01-01_2002-01-01,149000.0,0.3531,2.3971,52610.0,357373.0,4.5e-05,0.000304,0.3001,2.04,1.0,1.0,3.81,1.19,16
