country,short_name,names,id,latitude,longitude,gtng_region,glims_id,rgi50_ids,rgi60_ids,rgi70_ids,wgi_id,parent_glacier_id,references,remarks
CN,RGI60-14.03722,,108922,36.3682,76.4449,14_south_asia_west,,,RGI60-14.03722,,,,,
CN,RGI60-14.03723,,108923,36.3655,76.4457,14_south_asia_west,,,RGI60-14.03723,,,,,
CN,RGI60-14.03724,,108924,36.3635,76.4474,14_south_asia_west,,,RGI60-14.03724,,,,,
CN,RGI60-14.03726,,108926,36.3391,76.2702,14_south_asia_west,,,RGI60-14.03726,,,,,
CN,RGI60-14.03735,,108934,36.3477,76.486,14_south_asia_west,,,RGI60-14.03735,,,,,
CN,RGI60-14.03739,,108938,36.3442,76.474,14_south_asia_west,,,RGI60-14.03739,,,,,
CN,RGI60-14.03740,,108939,36.3492,76.4984,14_south_asia_west,,,RGI60-14.03740,,,,,
CN,RGI60-14.03743,,108942,36.3395,76.4205,14_south_asia_west,,,RGI60-14.03743,,,,,
CN,RGI60-14.03755,,108954,36.3394,76.465,14_south_asia_west,,,RGI60-14.03755,,,,,
CN,RGI60-14.03757,,108956,36.337,76.4582,14_south_asia_west,,,RGI60-14.03757,,,,,
CN,RGI60-14.03814,,109002,36.3196,76.338,14_south_asia_west,,,RGI60-14.03814,,,,,
CN,RGI60-14.03828,,109015,36.3293,76.4447,14_south_asia_west,,,RGI60-14.03828,,,,,
CN,RGI60-14.03829,,109016,36.3124,76.455,14_south_asia_west,,,RGI60-14.03829,,,,,
CN,RGI60-14.03861,,109039,36.3124,76.468,14_south_asia_west,,,RGI60-14.03861,,,,,
CN,RGI60-14.03866,,109042,36.3141,76.3313,14_south_asia_west,,,RGI60-14.03866,,,,,
CN,RGI60-14.03900,,109069,36.3024,76.499,14_south_asia_west,,,RGI60-14.03900,,,,,
CN,RGI60-14.03919,,109084,36.2963,76.4962,14_south_asia_west,,,RGI60-14.03919,,,,,
CN,RGI60-14.03920,,109085,36.2934,76.4995,14_south_asia_west,,,RGI60-14.03920,,,,,
CN,RGI60-14.03923,,109087,36.2992,76.3191,14_south_asia_west,,,RGI60-14.03923,,,,,
CN,RGI60-14.03930,,109093,36.2905,76.5341,14_south_asia_west,,,RGI60-14.03930,,,,,
CN,RGI60-14.03937,,109098,36.2889,76.5416,14_south_asia_west,,,RGI60-14.03937,,,,,
CN,RGI60-14.03946,,109105,36.2869,76.5465,14_south_asia_west,,,RGI60-14.03946,,,,,
CN,RGI60-14.03953,,109112,36.2858,76.5133,14_south_asia_west,,,RGI60-14.03953,,,,,
CN,RGI60-14.03958,,109117,36.2905,76.4998,14_south_asia_west,,,RGI60-14.03958,,,,,
CN,RGI60-14.03959,,109118,36.2869,76.504,14_south_asia_west,,,RGI60-14.03959,,,,,
CN,RGI60-14.03972,,109130,36.2892,76.3212,14_south_asia_west,,,RGI60-14.03972,,,,,
CN,RGI60-14.03974,,109132,36.2884,76.3323,14_south_asia_west,,,RGI60-14.03974,,,,,
CN,RGI60-14.03975,,109133,36.2833,76.3394,14_south_asia_west,,,RGI60-14.03975,,,,,
CN,RGI60-14.03977,,109135,36.283,76.5151,14_south_asia_west,,,RGI60-14.03977,,,,,
CN,RGI60-14.03978,,109136,36.2808,76.517,14_south_asia_west,,,RGI60-14.03978,,,,,
CN,RGI60-14.03993,,109150,36.274,76.3486,14_south_asia_west,,,RGI60-14.03993,,,,,
CN,RGI60-14.04012,,109166,36.3095,76.4058,14_south_asia_west,,,RGI60-14.04012,,,,,
CN,RGI60-14.04013,,109167,36.3079,76.378,14_south_asia_west,,,RGI60-14.04013,,,,,
CN,RGI60-14.04017,,109171,36.2769,76.4881,14_south_asia_west,,,RGI60-14.04017,,,,,
CN,RGI60-14.04018,,109172,36.2737,76.4878,14_south_asia_west,,,RGI60-14.04018,,,,,
CN,RGI60-14.04020,,109174,36.2786,76.3927,14_south_asia_west,,,RGI60-14.04020,,,,,
CN,RGI60-14.04032,,109182,36.2777,76.4707,14_south_asia_west,,,RGI60-14.04032,,,,,
CN,RGI60-14.04033,,109183,36.2765,76.4835,14_south_asia_west,,,RGI60-14.04033,,,,,
CN,RGI60-14.04035,,109185,36.2731,76.3599,14_south_asia_west,,,RGI60-14.04035,,,,,
CN,RGI60-14.04037,,109187,36.2728,76.3569,14_south_asia_west,,,RGI60-14.04037,,,,,
CN,RGI60-14.04087,,109221,36.255,76.4071,14_south_asia_west,,,RGI60-14.04087,,,,,
CN,RGI60-14.04102,,109231,36.2537,76.4673,14_south_asia_west,,,RGI60-14.04102,,,,,
CN,RGI60-14.04124,,109247,36.2452,76.4997,14_south_asia_west,,,RGI60-14.04124,,,,,
CN,RGI60-14.04148,,109270,36.2445,76.4825,14_south_asia_west,,,RGI60-14.04148,,,,,
